127.0.0.1 - - [14/Apr/2026:15:51:16 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:52:14 +0200] "GET /company-app/ HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:52:15 +0200] "GET /company-app/css/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:52:15 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:52:22 +0200] "POST /company-app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:52:23 +0200] "GET /company-app/main HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:52:25 +0200] "GET /company-app/evaluateStudent.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:52:28 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 5715
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:52:31 +0200] "GET /company-app/reviewStudentInternship.jsp?internshipId=5&studentId=1 HTTP/1.1" 200 8049
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:52:34 +0200] "GET /company-app/reviewStudentInternship.jsp?internshipId=14&studentId=1 HTTP/1.1" 200 3257
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:52:38 +0200] "GET /company-app/reviewStudentInternship.jsp?internshipId=5&studentId=1 HTTP/1.1" 200 8049
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:53:17 +0200] "GET /company-app/reviewStudentInternship.jsp?internshipId=5&studentId=1 HTTP/1.1" 200 8053
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:53:22 +0200] "GET /company-app/onSaveEvaluation(event,%20this)?comment=nice+work%21&studentId=1&internshipId=5 HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:54:45 +0200] "GET /company-app/reviewStudentInternship.jsp?internshipId=5&studentId=1 HTTP/1.1" 200 8055
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:54:50 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:55:20 +0200] "GET /company-app/reviewStudentInternship.jsp?internshipId=5&studentId=1 HTTP/1.1" 200 8024
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:55:20 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Apr/2026:15:55:29 +0200] "POST /company-app/saveEvaluation HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:02:13 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:02:13 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:02:22 +0200] "GET /company-app/reviewApplication.jsp?id=2 HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:02:22 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:02:30 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:02:30 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:02:33 +0200] "GET /company-app/reviewStudentInternship.jsp?internshipId=5&studentId=1 HTTP/1.1" 200 8024
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:02:33 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:10:05 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:10:05 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:57:08 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:57:08 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:57:10 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 6308
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:57:10 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:57:14 +0200] "GET /company-app/reviewStudentInternship.jsp?internshipId=5&studentId=1 HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [14/Apr/2026:16:57:14 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
