127.0.0.1 - - [30/Mar/2026:10:03:25 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:03:50 +0200] "GET /company-app/ HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:03:50 +0200] "GET /company-app/css/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:03:50 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:03:57 +0200] "POST /company-app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:03:57 +0200] "GET /company-app/main HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:04:00 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:04:01 +0200] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:04:04 +0200] "GET /company-app/%7B HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:04:24 +0200] "GET /company-app/internshipApplications.jsp HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:07:41 +0200] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:43:17 +0200] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 500 3988
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:43:20 +0200] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:44:03 +0200] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:44:06 +0200] "GET /company-app/&action=approve HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:44:25 +0200] "GET /company-app/&action=approve HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:44:27 +0200] "GET /company-app/&action=approve HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:44:27 +0200] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:44:28 +0200] "GET /company-app/&action=approve HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:44:30 +0200] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:44:31 +0200] "GET /company-app/&action=approve HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:44:36 +0200] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 200 2410
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:46:03 +0200] "GET /company-app/reviewApplication.jsp?id=1 HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:46:14 +0200] "GET /company-app/reviewApplication.jsp?id=1&action=approve HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:52:24 +0200] "GET /company-app/reviewApplication.jsp?id=1&action=approve HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:52:26 +0200] "GET /company-app/reviewApplication.jsp?id=1&action=approve HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:52:31 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:52:35 +0200] "GET /company-app/reviewApplication.jsp?id=1&action=approve HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:52:35 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:54:15 +0200] "GET /company-app/reviewApplication.jsp?id=1&action=approve HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:54:15 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:54:18 +0200] "GET /company-app/reviewApplication.jsp?id=1&action=approve HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:54:18 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:54:19 +0200] "GET /company-app/reviewApplication.jsp?id=1&action=reject HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [30/Mar/2026:10:54:19 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
