127.0.0.1 - - [27/Feb/2026:12:15:26 +0100] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:15:44 +0100] "GET /company-app/ HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:15:44 +0100] "GET /company-app/css/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:15:44 +0100] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:16:29 +0100] "POST /company-app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:16:29 +0100] "GET /company-app/main HTTP/1.1" 200 2845
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:16:33 +0100] "GET /company-app/applications HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:16:36 +0100] "GET /company-app/evaluate HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:16:38 +0100] "GET /company-app/account HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:16:38 +0100] "GET /company-app/css/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:16:40 +0100] "GET /company-app/internships HTTP/1.1" 200 5853
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:23:18 +0100] "GET /company-app/internships HTTP/1.1" 200 5853
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:25:48 +0100] "GET /company-app/internships HTTP/1.1" 200 5853
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:28:28 +0100] "GET /company-app/internships HTTP/1.1" 200 5853
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:28:40 +0100] "GET /company-app/ HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:28:40 +0100] "GET /company-app/css/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:28:47 +0100] "POST /company-app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:28:47 +0100] "GET /company-app/main HTTP/1.1" 200 2845
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:28:51 +0100] "GET /company-app/internships HTTP/1.1" 200 5853
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:29:22 +0100] "POST /company-app/internships HTTP/1.1" 200 6668
0:0:0:0:0:0:0:1 - - [27/Feb/2026:12:32:54 +0100] "GET /company-app/internships HTTP/1.1" 200 6668
