127.0.0.1 - - [31/Mar/2026:19:33:40 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [31/Mar/2026:19:48:09 +0200] "GET /company-app/ HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [31/Mar/2026:19:48:09 +0200] "GET /company-app/css/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [31/Mar/2026:19:48:09 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [31/Mar/2026:19:48:15 +0200] "POST /company-app/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2026:19:48:15 +0200] "GET /company-app/main HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [31/Mar/2026:19:48:18 +0200] "GET /company-app/evaluateStudent.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [31/Mar/2026:19:48:48 +0200] "GET /company-app/evaluateStudent.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [31/Mar/2026:19:49:17 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [31/Mar/2026:19:49:24 +0200] "GET /company-app/evaluateStudent.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [31/Mar/2026:19:52:31 +0200] "GET /company-app/internships HTTP/1.1" 200 5827
0:0:0:0:0:0:0:1 - - [31/Mar/2026:19:52:34 +0200] "GET /company-app/internships?edit=14 HTTP/1.1" 200 6016
0:0:0:0:0:0:0:1 - - [31/Mar/2026:19:52:50 +0200] "GET /company-app/internships HTTP/1.1" 200 5827
0:0:0:0:0:0:0:1 - - [31/Mar/2026:19:52:52 +0200] "GET /company-app/internships?edit=14 HTTP/1.1" 200 6016
0:0:0:0:0:0:0:1 - - [31/Mar/2026:19:52:59 +0200] "GET /company-app/evaluateStudent.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [31/Mar/2026:20:36:08 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [31/Mar/2026:20:36:12 +0200] "GET /company-app/reviewApplication.jsp?id=4 HTTP/1.1" 200 1981
0:0:0:0:0:0:0:1 - - [31/Mar/2026:20:36:14 +0200] "GET /company-app/reviewApplication.jsp?id=4&action=approve HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [31/Mar/2026:20:36:18 +0200] "GET /company-app/reviewApplication.jsp?id=4&action=approve HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [31/Mar/2026:20:36:19 +0200] "GET /company-app/applications.jsp HTTP/1.1" 200 4830
0:0:0:0:0:0:0:1 - - [31/Mar/2026:20:36:24 +0200] "GET /company-app/ HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [31/Mar/2026:20:36:24 +0200] "GET /company-app/css/style.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [31/Mar/2026:20:36:29 +0200] "GET /company-app/main HTTP/1.1" 200 2860
